iter	RMSE
0	1612.186568
1	1534.073794
2	1464.156202
3	1403.501994
4	1351.134335
5	1306.899696
6	1271.735621
7	1239.402893
8	1212.361788
9	1190.002336
10	1170.281291
11	1153.929962
12	1139.26279
13	1128.215843
14	1118.711716
15	1111.002378
16	1104.812998
17	1099.722934
18	1095.537013
19	1090.74457
20	1087.034976
21	1083.194286
22	1080.082213
23	1078.107347
24	1076.270017
25	1074.104783
26	1072.224069
27	1070.985578
28	1069.1106
29	1066.992423
30	1066.16129
31	1064.879764
32	1063.479431
33	1062.467491
34	1061.321618
35	1060.47227
36	1059.633411
37	1058.967044
38	1057.64088
39	1056.748658
40	1055.972857
41	1055.751221
42	1055.491335
43	1054.845841
44	1053.797708
45	1053.326693
46	1052.202823
47	1051.019533
48	1050.507592
49	1050.175864
50	1049.088076
51	1048.407518
52	1047.570787
53	1046.696759
54	1046.240061
55	1044.955411
56	1044.678449
57	1044.616538
58	1043.807481
59	1043.641041
60	1042.658249
61	1041.678254
62	1041.09327
63	1040.461646
64	1039.953222
65	1038.85701
66	1038.098178
67	1037.077372
68	1036.419908
69	1035.043454
70	1034.708701
71	1034.30586
72	1033.741741
73	1033.539942
74	1033.192419
75	1032.974957
76	1032.270388
77	1031.504226
78	1030.145157
79	1029.572052
80	1028.785744
81	1028.42634
82	1027.256903
83	1026.217698
84	1025.376288
85	1024.729043
86	1024.317906
87	1023.529106
88	1022.505479
89	1021.651597
90	1021.213349
91	1020.576497
92	1020.104238
93	1019.362873
94	1018.539528
95	1017.684646
96	1016.398062
97	1015.60316
98	1015.212354
99	1014.101114
