iter	Passed	Remaining
0	4	487
1	9	452
2	13	443
3	18	432
4	22	425
5	26	422
6	31	417
7	35	411
8	40	405
9	45	409
10	51	412
11	56	415
12	61	413
13	66	411
14	71	405
15	75	398
16	80	391
17	84	385
18	88	379
19	93	372
20	97	366
21	102	364
22	107	358
23	111	353
24	116	349
25	120	344
26	125	339
27	129	333
28	134	328
29	138	323
30	142	318
31	147	312
32	151	307
33	155	302
34	161	300
35	167	297
36	173	295
37	179	292
38	184	289
39	191	286
40	197	283
41	201	278
42	205	273
43	211	269
44	217	266
45	223	262
46	229	258
47	235	255
48	241	251
49	247	247
50	253	243
51	259	239
52	264	234
53	270	230
54	276	226
55	282	221
56	287	217
57	291	210
58	296	206
59	300	200
60	305	195
61	311	191
62	317	186
63	323	181
64	327	176
65	332	171
66	336	165
67	341	160
68	346	155
69	351	150
70	356	145
71	361	140
72	365	135
73	370	130
74	374	124
75	378	119
76	383	114
77	387	109
78	391	104
79	397	99
80	401	94
81	406	89
82	410	84
83	414	78
84	418	73
85	422	68
86	427	63
87	431	58
88	436	53
89	441	49
90	446	44
91	451	39
92	457	34
93	462	29
94	467	24
95	473	19
96	478	14
97	483	9
98	492	4
99	500	0
